asin,category,total_orders,orders_at_discount,units_sold,median_unit_price,revenue
B07R5X9WJB,kurta,147,83,149,442,66455
B09NQ4XYV9,set,145,101,146,597,89620
B09831YHGV,western dress,143,86,143,825,123948
B08RYRBZPC,top,141,81,143,574,86200
B09NQ4CZ65,set,142,132,142,597,86726
B0894YFQ5R,set,140,134,141,696,96984
B08XQ8R6GW,set,139,105,140,788,109060
B09HMTKV2L,kurta,140,115,140,399,56852
B09RKD6KWL,set,140,131,140,1115,152618
B09SDZ4FH9,kurta,139,111,139,735,103193
B082W87NQF,kurta,138,85,139,435,61393
B09NQ3MPRM,set,139,107,139,597,85219
B099NJKJ54,set,138,121,138,563,79092
B08XQBC8FV,set,138,61,138,788,106944
B09SDXQ3X9,western dress,135,125,135,735,100905
B09SDXG1CP,western dress,133,126,134,761,100887
B08B3YPD63,set,134,75,134,759,101358
B09HMY3YLT,kurta,134,69,134,422,55398
B09K3Y42F5,kurta,133,60,133,496,65097
B07R52578F,kurta,132,48,132,471,60922
B09NQ4QS13,set,131,106,132,635,82824
B08WPTJBBD,kurta,129,66,130,457,58574
B0822TDMYH,set,130,107,130,788,102428
B099NS55L1,western dress,130,105,130,744,103833
B09831T4CQ,western dress,129,74,129,940,121078
B09KXSQ73F,set,128,79,128,635,80880
B09NQ51CH7,set,127,72,128,635,81138
B08B415N6S,set,128,116,128,599,80652
B09TH73PT5,western dress,128,124,128,771,99210
B0983F3BLZ,set,127,98,127,1442,186221
B0894XGJ83,set,124,87,124,1075,134656
B099FDMD6T,kurta,122,68,124,292,37281
B08RP67NGB,kurta,122,87,122,363,45775
B099S87FTK,top,121,77,121,518,66676
B099S6795L,top,119,81,120,518,64437
B0894YB3B1,set,120,61,120,1133,133092
B08RP69C9N,kurta,119,80,119,352,43776
B08YN7XDSG,set,119,67,119,824,96631
B09K3TM23D,kurta,114,83,117,496,56689
B09NDKQD88,set,115,78,117,597,73064
B099FBM4FZ,kurta,115,76,117,292,35452
B094FR7J54,set,116,72,116,612,70857
B098315N2Z,western dress,115,79,115,744,95948
B07GRSF1FC,kurta,112,59,115,376,42597
B09SDY51NS,kurta,115,98,115,771,86487
B08YN44FZJ,set,115,65,115,824,93430
B08RYQQD6Z,top,115,82,115,574,70938
B07R41RZV7,kurta,114,40,115,442,52796
B09SDZ4XRT,kurta,113,88,114,735,85001
B099FC9KR1,kurta,112,66,114,292,34320
B0894Y4PNG,set,114,112,114,696,78710
B08N4RDVZP,top,112,54,112,487,56924
B08WPR5MCB,kurta,112,50,112,457,51045
B08RNPK8FX,kurta,111,72,111,345,38305
B09NQ4DD29,set,110,86,111,597,68389
B08N43MK22,top,111,50,111,529,59617
B09NQ47F17,set,110,83,110,624,67886
B09KXSVTDB,set,110,83,110,641,70832
B07GRQVB2G,kurta,109,52,109,357,39959
B0822T2BM8,set,108,85,108,788,85014
B0894WWGK9,set,108,69,108,1133,120190
B081WPK66G,kurta,107,77,107,379,42153
B08XVKMPHJ,kurta,105,38,105,399,41927
B082W7GVH7,kurta,104,43,104,376,39152
B0982ZRDSY,western dress,103,55,104,825,89841
B09NQ4C51C,set,103,60,104,635,64726
B09K3S4P57,kurta,103,47,104,496,50645
B08BFV1DVW,kurta,100,47,103,486,50400
B099S8X47K,top,102,42,102,518,54515
B099NJV9X7,set,102,93,102,599,59896
B081XBQBGF,kurta,102,51,102,399,42066
B09RKF9GZQ,set,102,84,102,999,105585
B099NHHY1T,set,102,76,102,569,58114
B09K3XXDMR,kurta,100,40,101,416,41916
B09NDKJKPN,set,100,84,100,635,64377
B09RKFDT7Q,set,100,98,100,799,79320
B08XNGQCGM,set,100,82,100,1163,118217
B0982ZDZ8H,western dress,99,56,99,791,82110
B09K3LJWBB,set,99,89,99,702,70011
B09SDXTRS9,western dress,97,98,99,735,73047
B099NMQR6C,set,99,64,99,845,83239
B081X921QM,kurta,98,33,98,471,46026
B09NDMP4XK,set,98,59,98,635.5,63448
B08KS2BCHS,kurta,97,66,97,399,39495
B09TH4H7T2,western dress,97,92,97,725,71383
B08N4QTQHW,top,97,50,97,529,49998
B08XVFSDR2,kurta,97,36,97,399,38765
B08RYQNCQ1,top,97,69,97,574,58954
B077MM3LFJ,kurta,96,72,96,353,33850
B09K3WFS32,kurta,95,44,96,416,39979
B08WPZ1N4Z,kurta,95,47,95,457,42804
B08WPR181B,kurta,94,61,94,457,42338
B08BFLKNGJ,kurta,94,36,94,491,46219
B08B3XS7ST,set,94,88,94,759,71172
B08RP3LHNB,kurta,93,55,93,387,35264
B09SDYL6L1,kurta,93,71,93,725,69025
B091Q84CBF,kurta,93,51,93,399,36791
B09K3XZC3J,kurta,92,46,93,496,45384
B099S9DTR2,top,92,74,92,464,46970
B099NWNGVK,set,92,76,92,801,75829
B099NFZJVC,set,91,80,91,563,51815
B08BFT4ZKX,kurta,89,64,91,486,44609
B07H7DZXJ5,kurta,90,76,91,518,47210
B09NQ51MPV,set,91,62,91,635,57131
B09KXV94NJ,set,91,49,91,635,57634
B09SDX13G7,western dress,91,85,91,735,67837
B099NJ4XRB,set,91,55,91,845,75911
B09NDL6H2B,set,90,74,90,626,56377
B08HHJRFQP,kurta,89,62,89,458,41411
B09SDZF54G,western dress,89,78,89,735,66226
B08RP29G54,kurta,89,60,89,345,30724
B0982YZ51B,western dress,89,41,89,690,65630
B09SDYWXDS,western dress,89,86,89,735,66401
B0982ZJ666,western dress,87,49,88,842,74163
B091Q9J9QL,kurta,88,39,88,375,33777
B08BFVXK6N,kurta,87,59,87,517,44440
B08N4XHHCQ,top,87,63,87,545,50873
B09SDYNZQ5,western dress,87,72,87,735,65363
B081X4S825,kurta,87,27,87,471,40889
B09K3LRR2T,set,85,59,86,1125,97973
B09K3XTK9M,kurta,83,34,86,416,35738
B08RP3TP66,kurta,85,50,85,352,31263
B09831XC46,western dress,85,53,85,807,76678
B0986XYFFP,top,85,38,85,574,50198
B09831N6TV,western dress,85,56,85,786,71482
B08N4TGTRV,top,85,61,85,545,50609
B09SDY68JK,kurta,84,64,84,735,62444
B08N4H7B3Y,top,84,73,84,545,49655
B09831P2JC,western dress,84,42,84,940,79894
B099FC39QH,kurta,83,48,83,459,37459
B082W7DFR9,kurta,82,45,83,376,31352
B099FCT65D,kurta,83,56,83,301,25521
B08RNX8Q22,kurta,82,55,82,345,28340
B09831FVYR,western dress,82,56,82,690,57162
B08B3YH18X,set,81,75,82,759,62180
B08HK5JSM1,kurta,81,53,81,458,37697
B08B3ZCRC5,set,81,60,81,759,61218
B09NQ3P98W,set,81,47,81,635,50983
B09B3HRDLP,top,80,49,80,387,31938
B09NDKGZ6V,set,80,64,80,597,49873
B08RP4JJPD,kurta,80,47,80,387,30318
B091Q9Q34N,kurta,80,39,80,375,30694
B09SDXB141,western dress,80,72,80,735,59573
B08HK4W6YT,kurta,79,49,79,487,37819
B0894WY9V7,set,79,37,79,1140,90961
B0986XJDJ4,top,78,36,78,550,46081
B09SDZ64HF,western dress,77,71,78,735,58252
B0894X711G,set,78,33,78,1133,86578
B0894WV6S6,ethnic dress,78,46,78,855,67968
B09RP8WY5J,set,77,69,77,1186,90124
B08YYX8VKT,kurta,76,53,77,499,42959
B0982Z1994,western dress,76,37,76,842,64952
B09K3XK9ZZ,kurta,76,30,76,416,31568
B094FRW46T,set,74,52,75,612,45885
B08B412RJH,set,75,50,75,599,47529
B0983292DV,western dress,75,54,75,690,55385
B08BF4PWCT,kurta,73,48,75,517,38081
B07WP5G7MK,kurta,75,32,75,376,28215
B09NDKN86H,set,72,35,75,666,47865
B099NJ1WVX,kurta,75,20,75,468,33315
B09SDYHWLW,western dress,75,64,75,725,55709
B08CMMN974,set,73,59,74,653,47707
B08CMHNWBN,set,74,58,74,653,47784
B08XW3RW7P,kurta,73,21,74,399,29554
B0822TFD7Y,set,74,66,74,788,58380
B089G1ZNLX,set,72,66,73,631,47580
B081X5WHHT,kurta,72,33,73,399,29767
B0983D9C65,set,73,59,73,824,59597
B07X3KSDT3,set,73,54,73,696,51642
B09K3G4TS6,set,73,58,73,736,53032
B07R41RHRH,kurta,71,33,73,442,32916
B0986XSXR1,top,72,51,72,690,49799
B0983F2ZJW,set,72,50,72,1523,107051
B08WQ1W4JV,kurta,72,31,72,457,32801
B077M6KWYJ,kurta,72,49,72,353,25442
B08BJT3PSM,kurta,72,51,72,556,39992
B099FDNFFV,kurta,71,50,71,292,20930
B08QGMLJF7,set,71,48,71,1442,103228
B0983D28F9,set,71,48,71,824,58079
B099NTV5ZV,western dress,70,53,70,665,46588
B099S7RVXG,top,70,40,70,493,35930
B08B3YWTLK,kurta,70,47,70,397,26902
B08KS1W7V8,kurta,69,45,69,399,27711
B0983CBSJ3,set,67,59,69,824,56451
B09K3938KW,set,69,53,69,702,48705
B09811Y7WM,kurta,69,55,69,486,33442
B099NJQ8JQ,set,69,63,69,563,39397
B08W9P5TV7,set,69,53,69,573,39929
B099FD3RH8,kurta,69,30,69,459,31195
B09SDYSR1F,kurta,68,67,68,735,50741
B09LD4J4NP,kurta,68,45,68,728,46562
B099FCVXXD,kurta,68,40,68,292,20222
B0783Q5HMF,kurta,68,46,68,353,24037
B09K4182W8,kurta,68,31,68,496,32938
B08CMV6SCJ,set,67,55,67,653,43525
B08KRZRSCL,kurta,67,47,67,399,27517
B08BF4GQ9V,kurta,64,43,67,517,34102
B098112V2V,kurta,67,49,67,486,32416
B09LD4YF4X,kurta,67,33,67,760,47384
B09872TQWK,top,67,23,67,550,37785
B09K3WRM4Q,kurta,66,32,67,416,27844
B08KRYCC8J,kurta,67,40,67,399,26783
B0983GGFYD,set,66,59,66,1442,96386
B09HMS8F1B,kurta,65,63,66,517,33941
B09K3S3FFN,set,65,50,66,1125,75984
B098314S8L,western dress,66,28,66,885,58433
B07R59TDM1,set,66,29,66,847,55706
B0894XGSH9,set,66,32,66,1199,77524
B08YZ24516,kurta,65,55,66,499,35668
B0925WM8Z6,set,65,45,65,1204,78341
B09NQ54RRT,set,63,48,65,597,39923
B081XDBBSH,kurta,62,24,65,471,30615
B08ZHNGS54,top,65,32,65,432,30137
B09K3DQZ66,set,65,57,65,692,45701
B08W9MFDJD,set,65,43,65,573,37485
B0983FZD5K,set,65,49,65,1432,94619
B09B3GS5CM,top,65,43,65,387,26070
B0981152GP,kurta,65,33,65,511,33908
B08RP3YXBX,kurta,65,46,65,352,24122
B07SZSYNQ9,kurta,65,11,65,376,24471
B09K3QVXBS,set,64,54,64,702,45349
B08KS2BPL8,kurta,63,50,64,399,26002
B098133PV5,kurta,63,45,64,486,31427
B08B3Z38TJ,set,64,56,64,759,48576
B09LD3TCYP,kurta,63,28,64,836,48197
B09RKDPH6J,set,64,48,64,999,67772
B099S9P2FK,top,63,30,63,497,31764
B09RKDH2BT,set,63,50,63,999,65317
B099NMK3ZV,kurta,63,41,63,301,18861
B099NTSTM2,western dress,63,50,63,625,40609
B09NDHQMKC,set,62,20,63,666,40352
B08N498WCX,top,63,42,63,545,37162
B07SZSYB81,kurta,61,21,63,376,23714
B082W8DNQX,kurta,62,43,63,435,27750
B097ZZTMZD,kurta,62,32,62,521,32183
B08B3VSTFG,kurta,62,41,62,399,23836
B099FC46Q8,kurta,61,39,62,292,18618
B08RP6K224,kurta,62,44,62,540,33523
B0894X9LNS,set,62,25,62,1140,71556
B09HMHM56Y,kurta,62,56,62,517,31843
B0822TBFW3,set,62,55,62,788,48423
B09RKDB8SB,set,62,58,62,1115,68196
B09RKDGZ2D,set,62,59,62,1186,69162
B08B3YK5R3,western dress,61,59,61,899,57639
B08ZHSXP1S,top,59,31,61,432,27686
B0987184SL,top,61,49,61,659,40619
B09RK7Q644,western dress,61,58,61,721,47453
B08PCW5HD7,kurta,61,54,61,487,31411
B08YZ19332,kurta,61,27,61,484,34920
B08YZ16M9S,kurta,61,33,61,688,36148
B0894WT71H,set,60,35,61,1075,66333
B08RP2Y81T,kurta,60,47,60,345,20651
B09Y3G52V3,set,60,54,60,771,45994
B099NM2DMY,set,60,36,60,845,49911
B09831TPR5,western dress,60,31,60,837,51908
B097ZZR31W,kurta,59,34,59,521,30765
B09LD24932,kurta,59,39,59,925,50645
B08YYYDN9R,kurta,59,49,59,499,34831
B0894XHM78,ethnic dress,59,29,59,855,51461
B098316HXL,western dress,58,43,58,690,42974
B09K3ZT165,kurta,58,27,58,458,27677
B09KXVG37D,set,58,47,58,852,50975
B08PCVMF6R,kurta,58,46,58,544,29752
B08YYTCPYX,kurta,58,50,58,499,31910
B09RKDXRZK,set,58,45,58,1122,67350
B08ZHQ7W7T,top,58,35,58,446,29276
B097ZZLC2X,kurta,58,37,58,521,30167
B08YNK9K8F,set,58,35,58,824,47317
B0894XYMWS,set,58,35,58,1140,67020
B07X3K4L82,set,55,52,57,696,39897
B0982ZS9FG,western dress,57,26,57,807,55143
B08ZYQB6HN,set,57,48,57,922,52693
B0822TVYZ1,set,57,53,57,715,42089
B079WYDLLS,kurta,56,44,57,495,28251
B08N47Z9YZ,top,56,26,57,487,28090
B0986TGXF9,top,57,19,57,574,32809
B0983G1KLL,set,57,26,57,478,27014
B08RP3HQH3,kurta,57,41,57,568,31915
B08QGNW2H8,set,57,51,57,1450,84141
B09TH61GMF,set,57,47,57,1149,68390
B09TH2ZFSY,western dress,57,57,57,725,42317
B091Q8446G,kurta,57,33,57,301,17226
B07R487XRD,set,57,29,57,847,48181
B08RP77NWN,kurta,55,29,56,540,30536
B081X4S826,kurta,56,36,56,399,22712
B08YZ2W99X,kurta,56,26,56,688,33739
B09K39CKVP,set,56,55,56,697,39386
B08CMN1K86,set,56,42,56,653,36354
B09RKD9PDZ,set,56,52,56,799,44360
B08ZYPQ3XV,set,56,46,56,950,52917
B09K3LRFQF,set,56,47,56,1186,65018
B09K3DV6Q9,set,56,26,56,545,32020
B09RPJD74Z,set,56,49,56,1127,64230
B09RPRS8JL,set,54,54,55,1115,62868
B09RKD8NGR,set,55,51,55,751,42597
B089G2L483,set,55,50,55,641,36155
B08W9PN5YX,set,55,44,55,563,31491
B09RP8VTX6,set,55,48,55,1115,63002
B09QJ3RGB6,set,55,47,55,969,55914
B08W8DJG7F,set,55,47,55,573,31511
B089G28YYW,set,53,51,54,631,36182
B08YYYZMKB,kurta,54,29,54,484,28529
B08XW66LTH,kurta,54,28,54,481,25775
B09M75YGQF,kurta,54,46,54,1043,53515
B09HM9HC4T,kurta,54,48,54,517,27798
B099FD9VJ9,kurta,53,22,54,468,24086
B0986XTYKD,top,54,49,54,690,39723
B08B3Y3VHQ,western dress,53,53,53,899,48697
B09SDXPCRB,western dress,52,52,53,771,40577
B09SDYG7YP,western dress,53,26,53,791,43944
B089G2JV7X,set,53,49,53,631,35326
B07K4C1KTB,kurta,53,46,53,685,36587
B08BJS1LPN,kurta,52,31,52,544,28618
B099FCBF34,kurta,51,40,52,301,15839
B09SDZ14KR,western dress,51,42,52,791,43474
B09K3W2LHF,kurta,52,35,52,459,24340
B0894XKSM1,set,52,30,52,1125,59838
B0894WT213,ethnic dress,52,30,52,855,45053
B08RP3PMYD,kurta,51,28,52,561,28871
B0894WL9SH,set,52,40,52,838,44740
B09PN4P12Y,set,52,47,52,999,49531
B08QGHTFWF,set,52,46,52,1442,76097
B09RKFBMYD,set,52,48,52,852,44140
B08BJR2R7M,kurta,52,44,52,568,28822
B09TH3H2DP,western dress,51,49,51,771,38217
B0894YWSQN,set,51,34,51,1125,57972
B0983FQYML,set,50,40,51,824,41749
B085HP1LQR,kurta,50,24,51,517,25711
B091SW66WJ,western dress,51,44,51,690,35343
B09CTCDDQ4,set,51,33,51,1043,53721
B091SPWM8L,set,51,26,51,759,38500
B09RP8WLNY,set,51,50,51,1115,57878
B07H7F6SKC,kurta,51,47,51,518,26356
B09873BFC1,top,50,22,51,387,20791
B09QJ48G25,set,51,38,51,899,47274
B08MYV6C3Y,set,51,20,51,426,21723
B09HMSSM5B,kurta,50,49,50,517,25580
B09KXVPJ7M,set,50,27,50,877,43962
B09QJ57JPK,set,50,39,50,969,50130
B08XW581QN,kurta,50,30,50,458,23567
B09YYQV9JG,western dress,50,46,50,625,31479
B0983CRK42,set,50,41,50,888,43846
B08HHJPWBS,kurta,49,29,50,458,23206
B091Q97C9S,kurta,50,31,50,301,15177
B08YYZFQZS,kurta,50,24,50,688,31719
B09PN41YXK,set,50,45,50,999,48012
B09SDY7MHD,western dress,49,43,50,735,37364
B07R41S1YG,kurta,49,21,50,432,21719
B08YZ243V6,kurta,50,34,50,703.5,32082
B09HMVWDN3,kurta,50,47,50,517,25675
B079WX69ZM,kurta,50,45,50,518,25438
B08QGN6D3M,set,50,28,50,1348.5,68712
B08CMRV8D1,set,50,34,50,653,32317
B08YZ19DL9,kurta,50,28,50,484,26624
B097ZZZR1P,kurta,49,18,49,521,25615
B07R5XKXL4,kurta,49,36,49,442,22250
B09RPQV7SV,set,49,43,49,1115,56217
B09832FGG4,western dress,48,37,49,744,39942
B08PCSJ2M6,kurta,49,44,49,544,25657
B081X4KQ14,kurta,49,43,49,399,20051
B09KXW4WQC,set,49,45,49,680,32476
B09K3YVY3B,set,49,27,49,545,28213
B08B3YC7HZ,kurta,49,32,49,399,18875
B09M76SVFW,kurta,49,48,49,1043,48254
B0822SX9WB,set,49,47,49,764,37809
B08YYRX2L6,kurta,49,29,49,533,30830
B082W7Y2KY,kurta,49,40,49,435,21791
B09RKF8L5N,set,49,45,49,799,38567
B08XVXRVMY,kurta,49,21,49,487,23219
B099NK7Y5P,kurta,49,27,49,453,22037
B09RKD2Z9R,set,49,40,49,1122,56526
B08ZHN6H5T,top,48,21,48,432,21062
B09RKDJ9SQ,set,48,45,48,852,40466
B08ZHZWF2N,top,48,36,48,493,23864
B08ZHT1PKK,top,48,31,48,493,24509
B08ZYQ716N,set,48,43,48,922,44584
B09Y3MWCDM,set,48,46,48,771,36686
B08XVQM1LP,kurta,48,23,48,458,22535
B085HJXJ3M,kurta,48,21,48,496,24145
B08V19JZ2F,top,48,36,48,574,28424
B08YZ4WLT3,kurta,47,45,48,499,27649
B08QGM7FCC,set,48,29,48,1473,71418
B0983DSS8R,set,48,37,48,1523,71768
B07G2CSMX9,kurta,48,28,48,353,16889
B07K3R51CL,kurta,48,39,48,685,33480
B091Q8GQLG,kurta,48,29,48,301,14497
B08RP5393W,kurta,48,27,48,387,18229
B081WYJ6CV,kurta,47,13,47,471,22137
B08ZYPD8GX,set,47,40,47,950,44317
B091Q9FQ4B,kurta,47,33,47,325,15320
B0822VCQQC,set,47,34,47,764,35312
B0894YJNT9,ethnic dress,47,38,47,899,42743
B089G2K69F,kurta,47,45,47,568,27500
B09K3PDMBM,set,47,42,47,631,29003
B09QJ3RQBX,set,47,36,47,899,42880
B085HMZBP2,kurta,46,19,47,496,23669
B08W8NSFRH,kurta,47,20,47,301,14080
B085HM8VTK,kurta,47,15,47,496,23634
B08ZH7C41R,top,47,18,47,432,21382
B09K3F6Y89,set,47,25,47,545,26961
B08QGJR8RG,set,47,38,47,1398,65880
B091T18F3W,western dress,47,28,47,690,33282
B09M6WZX2J,set,47,34,47,1301,61361
B0982ZDQJK,western dress,46,37,46,788,38344
B09K3ZKHMW,kurta,46,38,46,459,21730
B08XVRKF6V,kurta,46,23,46,459,21244
B08YZ22Q6R,kurta,46,25,46,651.5,30157
B0894Y1W9Q,set,46,25,46,1140,52614
B099NS9KRN,western dress,46,24,46,665,31024
B09K3TMCKY,kurta,46,32,46,459,21560
B082W891PY,kurta,46,28,46,435,20153
B08W8KNCDH,set,46,30,46,563,26402
B09LV1SJKT,kurta,46,25,46,436,20519
B099S6YS1J,top,46,33,46,574,26611
B08W9KCKQD,kurta,46,31,46,301,13774
B0986XYSRW,top,46,23,46,574,25912
B09NQ7PCW9,kurta,45,35,46,355,16436
B09K3JVNR1,set,46,43,46,1125,52589
B07Q2MWDYN,set,45,34,45,612,27330
B08B3YPXKZ,kurta,45,30,45,363,16965
B09K3X66GN,kurta,45,20,45,486,22062
B09LD3PMBT,kurta,45,23,45,487,27042
B08XVNX5LD,kurta,45,17,45,399,18001
B09LTYN4SC,kurta,45,17,45,436,20134
B08YYTNXN6,kurta,45,38,45,533,26583
B09QJ5M6TW,set,45,34,45,725,32989
B09SDY9GXB,western dress,45,30,45,791,38292
B0986Z5BDC,top,45,28,45,649,30517
B0982ZRVSC,western dress,45,29,45,855,38670
B08BFCPV5R,kurta,44,28,45,491,22256
B081WSTXZ9,kurta,45,34,45,399,18163
B09LD4H4J5,kurta,45,17,45,728,28714
B09K3HVZ83,set,45,31,45,1186,52043
B08ZJBYJTN,top,44,27,45,493,22397
B08ZYPCX6Y,set,45,34,45,922,41743
B08YNFKKGY,set,45,45,45,824,36510
B094FNM537,set,45,31,45,612,27525
B07GRSCXCP,kurta,43,28,45,357,16444
B0983DBK44,set,45,41,45,888,39455
B09RKD8HQK,set,45,33,45,1122,52290
B09LD2W9XL,kurta,45,26,45,728,28145
B08ZJ2CB3B,top,44,19,44,432,19989
B09CT26LGZ,set,44,38,44,790,34873
B09RKF9RSW,set,44,43,44,967,42316
B0894X8ND7,set,44,22,44,1075,48502
B089G1TKY8,kurta,44,38,44,635,26921
B099NMFGMJ,kurta,44,21,44,406,18925
B08B3YB1FR,western dress,44,43,44,899,41306
B08QGJ32WW,set,43,32,44,1432,64044
B097ZZHBTC,kurta,43,21,44,431,19428
B09TH6N96L,set,44,44,44,1257,54675
B08B3YMCZK,western dress,43,32,44,899,40256
B099NPSHJ2,kurta,43,23,43,459,19233
B09K3ZQCF9,kurta,43,29,43,459,20110
B09QJ4HWCC,set,43,23,43,725,31685
B09QJMF9YB,set,43,41,43,1299,57273
B0822SS99K,set,43,29,43,792,34282
B09M6X6C6T,set,43,39,43,684,29556
B0925X6RTJ,set,43,33,43,1205,52089
B08RP49CLQ,kurta,43,33,43,568,24003
B089G1JQCK,set,43,39,43,641,27996
B07K41S1J4,kurta,43,32,43,685,29929
B08W9F5KML,set,43,35,43,573,24899
B09QJ46T37,set,43,32,43,899,39212
B08B3YDL18,set,40,23,43,759,32550
B09QJ5LYDH,set,43,36,43,969,43320
B08ZHMSJVJ,top,42,20,43,518,23747
B08YYVFDZP,kurta,43,31,43,533,26503
B0982Z4W2G,western dress,43,41,43,791,36732
B09K3WHHR1,kurta,43,20,43,406,17942
B07GRVXGV9,kurta,43,19,43,357,15795
B09K3WFR76,kurta,42,33,42,459,19558
B09TH37FXC,set,42,40,42,1257,52278
B0983GWPF1,set,42,41,42,551,23205
B099S9MMY4,top,42,23,42,665,27428
B09RKCMWVM,kurta,42,36,42,533,22870
B08N44NG72,top,42,17,42,518,22135
B0822T4YG6,set,42,33,42,788,33124
B099FB9BP3,kurta,40,26,42,301,12533
B08W9TLV6J,kurta,42,27,42,301,12607
B08ZJ297YM,top,42,26,42,518,22686
B08XWBRM8L,kurta,42,21,42,399,16780
B09TH6TF19,kurta,42,26,42,399,17020
B098136DNF,kurta,42,38,42,486,20467
B099NNYQ1K,kurta,42,29,42,301,12537
B0986ZWRKD,top,42,25,42,513,23044
B08QGQKRFY,set,42,26,42,1033,43601
B099FB63Q6,kurta,42,12,42,468,19111
B09Y3FNR5D,set,41,37,41,771,31621
B08XVKLMZK,kurta,41,20,41,459,18879
B09812G7DK,kurta,41,34,41,486,19873
B09RKF8T2M,set,41,40,41,751,30855
B091QB6SSN,kurta,41,25,41,375,15795
B0894X7XDM,ethnic dress,41,23,41,855,35497
B08QGLBXXQ,set,41,24,41,1333,56394
B09SDYGHX3,western dress,41,36,41,885,36692
B09LD4YZCR,kurta,41,27,41,760,28994
B09KXTVXM9,set,41,40,41,648,27084
B09QJ37SNL,set,41,35,41,899,37585
B09QJ48KSN,set,41,39,41,969,41111
B098124671,kurta,41,38,41,635,25689
B09831NCG7,western dress,41,28,41,859,37350
B09RKBXM5B,kurta,41,36,41,487,19845
B08QGMDXWB,ethnic dress,40,24,41,373,15936
B09CTF82YW,set,40,30,40,1043,42206
B09YYRG28X,western dress,39,39,40,625,25266
B0922SLD43,set,40,27,40,521,21257
B08YYZCTJX,kurta,40,35,40,499,23938
B091Q8YDPP,kurta,40,26,40,301,12133
B08MYRR1ZW,set,40,22,40,416,16999
B09TH6L9KF,kurta,40,25,40,399,16152
B099NK1G2C,set,40,30,40,818,33472
B09KXV4TTM,set,40,39,40,835,34381
B08YYS7HQD,kurta,40,36,40,541,25685
B08B3XN2LC,set,40,23,40,759,30331
B082W872VQ,kurta,40,25,40,376,15070
B09TH43NW5,western dress,40,40,40,735,30044
B09RKBXH45,kurta,40,32,40,487,19329
B0894X3VKQ,set,39,19,40,1125,45433
B08XVT2HP4,kurta,40,18,40,399,16002
